,siret
29132429,41406512800038
23890663,39961501200032
48344463,49499269600018
66496685,81847724200015
29297828,41444310100020
25619732,40352204800012
46652440,48986605300023
23334326,39839238100016
29050857,41389203500010
10334493,33783780100022
63651878,80099263800018
37721472,44035750700019
48449001,49531551700021
58482581,72587072900011
2576990,30506232500017
2081032,30187227100012
68854451,83285133100013
52610960,51501586500022
34651381,43143567600017
41950495,45192099500037
47816869,49339082700035
36509157,43764125100016
58465065,72261160500014
46438286,48920548400012
65687491,81275673200010
69187577,83486378900014
64666163,80780035400019
74280808,97050079900030
68801130,83252677600014
14688221,35144620800016
50232187,50327291600019
63958199,80246426300010
45305947,48385438600024
54678255,52761325100042
28708079,41307330500018
39955036,44534197700012
54015930,52282097600010
28898776,41351577600024
71307651,85370350200015
66789292,81990641300029
54931476,52870163400016
48970692,49896852800030
73864953,90398246000011
39877947,44517235600013
33565297,42865221800010
4591442,31595408100016
27585625,41036617300012
69411178,83826056000027
54893819,52854112100026
71243098,85317916600014
20065664,38890587900051
48923957,49882199000039
73604918,90120375200018
72348367,88535193200011
6974539,32533820000034
13297162,34781293500018
62115978,79194131300011
69425994,83835448800010
15132762,35256209400016
11557684,34121414600019
11943705,34228451000019
44077233,48021456800010
28120658,41161688100016
56025542,53350700000024
67319429,82252744600014
36429737,43684091200014
66251935,81539090100016
13738276,34898883300011
56211287,53431415800013
37805362,44054043300024
72898228,89238962800017
2018688,30149018100015
22368452,39417381900019
55752399,53229637300014
61233637,78626101600012
42572233,45339844800028
12775178,34447856500023
69569869,83927399200017
23564602,39891540500011
65242886,81061877700017
61142676,78548445200012
51661323,51112634400015
58589147,74984751300019
10409670,33805979300012
67128831,82158268100010
30432600,41911448300011
68292400,82957895400010
64403302,80460618400013
53463576,52049182000020
61385617,78861922900016
70946458,85091316100020
38619236,44238201600016
8969016,33174876400023
32091658,42288184700012
52321230,51383128900014
69509835,83888529100016
33644912,42881836300015
63037753,79809734100019
69791526,84073546800018
39960709,44535465700022
68653153,83163344100017
56297100,53468315600010
17811724,38181570300016
62992060,79788405300027
38415006,44191716800011
59255147,75284684000011
40107557,44772491500015
71189177,85276741700011
70375847,84471213300017
56501752,53749812300018
60891407,78345549600027
38711830,44259431300011
24915410,40195693300014
28836964,41336456300010
57684643,59471082400014
56759152,53862927000017
3829338,31237831800066
62306492,79282669500019
6997788,32542004000025
15277431,35290615000011
61471678,78901452900133
71116925,85222261100018
64924700,80905543700036
65897599,81372046300013
